X,Y,Z,ID,Date,Location Residual,Sensors Hit,Sensors Used,Apparent Volume,Seismic Moment,Local Magnitude
2.73E+03,4.79E+03,1.20E+03,nan,nan,1.61E+00,9.00E+00,9.00E+00,1.66E+03,2.48E+07,-1.50E+00
2.73E+03,4.78E+03,1.18E+03,nan,nan,9.20E-01,7.00E+00,7.00E+00,5.92E+01,1.26E+06,-2.30E+00
2.72E+03,4.76E+03,1.17E+03,nan,nan,1.25E+00,7.00E+00,6.00E+00,6.13E+00,8.83E+05,-2.20E+00
2.75E+03,4.79E+03,1.21E+03,nan,nan,2.45E+00,6.00E+00,6.00E+00,3.37E+02,2.55E+06,-2.30E+00
2.71E+03,4.75E+03,1.18E+03,nan,nan,2.01E+00,9.00E+00,9.00E+00,2.75E+04,1.57E+08,-1.10E+00
2.73E+03,4.76E+03,1.17E+03,nan,nan,1.32E+00,8.00E+00,7.00E+00,2.36E+01,1.01E+06,-2.30E+00
2.73E+03,4.76E+03,1.17E+03,nan,nan,8.00E-01,9.00E+00,8.00E+00,6.10E+01,1.32E+07,-1.40E+00
2.72E+03,4.77E+03,1.17E+03,nan,nan,1.29E+00,8.00E+00,6.00E+00,2.78E+02,4.20E+06,-2.00E+00
2.72E+03,4.76E+03,1.17E+03,nan,nan,1.14E+00,8.00E+00,8.00E+00,2.96E+02,6.42E+06,-1.90E+00
2.73E+03,4.76E+03,1.17E+03,nan,nan,1.86E+00,9.00E+00,8.00E+00,9.83E+02,1.12E+07,-1.80E+00
2.82E+03,4.80E+03,1.20E+03,nan,nan,1.21E+00,6.00E+00,6.00E+00,1.17E+02,1.21E+06,-2.40E+00
2.73E+03,4.77E+03,1.17E+03,nan,nan,1.10E+00,6.00E+00,6.00E+00,1.24E+01,5.89E+05,-2.50E+00
2.73E+03,4.76E+03,1.17E+03,nan,nan,1.29E+00,8.00E+00,8.00E+00,1.80E+01,1.67E+06,-2.10E+00
2.68E+03,4.76E+03,1.13E+03,nan,nan,1.47E+00,8.00E+00,8.00E+00,4.10E+03,1.90E+07,-1.70E+00
2.73E+03,4.76E+03,1.18E+03,nan,nan,1.39E+00,6.00E+00,5.00E+00,2.26E+02,1.70E+06,-2.40E+00
2.74E+03,4.77E+03,1.16E+03,nan,nan,2.13E+00,8.00E+00,8.00E+00,6.01E+01,1.17E+06,-2.40E+00
2.70E+03,4.72E+03,1.25E+03,nan,nan,2.55E+00,7.00E+00,6.00E+00,3.20E+03,1.38E+07,-1.80E+00
2.72E+03,4.73E+03,1.12E+03,nan,nan,1.21E+00,6.00E+00,4.00E+00,1.78E+02,1.00E+06,-2.60E+00
2.73E+03,4.68E+03,9.91E+02,nan,nan,2.30E+00,9.00E+00,9.00E+00,2.02E+03,1.76E+07,-1.70E+00
2.71E+03,4.72E+03,1.19E+03,nan,nan,4.18E+00,9.00E+00,9.00E+00,1.01E+04,2.94E+07,-1.70E+00
2.74E+03,4.75E+03,1.18E+03,nan,nan,6.20E-01,6.00E+00,6.00E+00,8.97E+02,4.13E+06,-2.20E+00
2.59E+03,4.96E+03,1.36E+03,nan,nan,2.34E+00,9.00E+00,9.00E+00,1.12E+05,3.89E+08,-9.00E-01
2.76E+03,4.76E+03,1.18E+03,nan,nan,1.32E+00,7.00E+00,7.00E+00,1.94E+02,2.12E+06,-2.30E+00
2.69E+03,4.79E+03,1.17E+03,nan,nan,1.33E+00,6.00E+00,6.00E+00,9.61E+02,3.00E+06,-2.30E+00
2.76E+03,4.79E+03,1.19E+03,nan,nan,8.30E-01,8.00E+00,8.00E+00,6.72E+01,2.11E+06,-2.10E+00
2.76E+03,4.76E+03,1.17E+03,nan,nan,2.11E+00,8.00E+00,8.00E+00,2.58E+01,2.10E+06,-2.00E+00
2.75E+03,4.75E+03,1.17E+03,nan,nan,1.58E+00,9.00E+00,8.00E+00,6.58E+02,7.91E+06,-1.90E+00
2.78E+03,4.76E+03,1.17E+03,nan,nan,1.60E+00,6.00E+00,6.00E+00,4.30E+01,3.19E+05,-2.90E+00
2.75E+03,4.75E+03,1.17E+03,nan,nan,1.90E+00,8.00E+00,5.00E+00,7.33E+02,1.85E+07,-1.50E+00
2.78E+03,4.73E+03,1.09E+03,nan,nan,5.10E-01,6.00E+00,5.00E+00,2.29E+01,1.88E+05,-3.00E+00
2.76E+03,4.74E+03,1.14E+03,nan,nan,8.70E-01,6.00E+00,6.00E+00,7.75E+00,3.13E+05,-2.70E+00
2.76E+03,4.74E+03,1.13E+03,nan,nan,1.30E+00,8.00E+00,7.00E+00,2.14E+02,2.96E+06,-2.10E+00
2.69E+03,4.76E+03,1.14E+03,nan,nan,7.20E-01,8.00E+00,4.00E+00,1.05E+03,7.06E+06,-2.00E+00
2.69E+03,4.76E+03,1.13E+03,nan,nan,1.97E+00,9.00E+00,9.00E+00,1.43E+04,1.06E+08,-1.20E+00
2.72E+03,4.75E+03,1.13E+03,nan,nan,1.47E+00,7.00E+00,6.00E+00,8.77E+01,1.02E+06,-2.50E+00
2.72E+03,4.75E+03,1.12E+03,nan,nan,1.37E+00,6.00E+00,5.00E+00,9.65E+01,1.30E+06,-2.40E+00
